1,c,13194,u,cu
1,c,17961,p0,cp
1,c,17073,t,ct
2,c,16989,u,cu
2,c,17351,p0,cp
2,c,17073,t,ct
3,c,13457,u,cu
3,c,17953,p0,cp
3,c,17073,t,ct
4,c,16570,u,cu
4,c,17301,p2,cp
4,c,17073,t,ct
5,c,13436,u,cu
5,c,17969,p2,cp
5,c,17073,t,ct
6,c,16423,u,cu
6,c,18061,p1,cp
6,c,17073,t,ct
7,c,13761,u,cu
7,c,18350,p0,cp
7,c,17073,t,ct
8,c,13879,u,cu
8,c,18122,p2,cp
8,c,17073,t,ct
9,c,16117,u,cu
9,c,18104,p0,cp
9,c,17073,t,ct
10,c,13711,u,cu
10,c,17746,p1,cp
10,c,17073,t,ct
11,c,16573,u,cu
11,c,17351,p0,cp
11,c,17073,t,ct
12,c,16550,u,cu
12,c,17588,p1,cp
12,c,17073,t,ct
13,c,14692,u,cu
13,c,17905,p4,cp
13,c,17073,t,ct
14,c,15019,u,cu
14,c,17301,p2,cp
14,c,17073,t,ct
15,c,13214,u,cu
15,c,17601,p2,cp
15,c,17073,t,ct
16,c,13239,u,cu
16,c,17591,p2,cp
16,c,17073,t,ct
17,c,14914,u,cu
17,c,17301,p2,cp
17,c,17073,t,ct
18,c,13836,u,cu
18,c,18291,p1,cp
18,c,17073,t,ct
19,c,14310,u,cu
19,c,18259,p4,cp
19,c,17073,t,ct
20,c,14680,u,cu
20,c,17301,p2,cp
20,c,17073,t,ct
21,c,13214,u,cu
21,c,18230,p2,cp
21,c,17073,t,ct
22,c,14756,u,cu
22,c,17389,p3,cp
22,c,17073,t,ct
23,c,14021,u,cu
23,c,17456,p3,cp
23,c,17073,t,ct
24,c,14757,u,cu
24,c,17276,p1,cp
24,c,17073,t,ct
25,c,13421,u,cu
25,c,17700,p2,cp
25,c,17073,t,ct
26,c,15471,u,cu
26,c,17519,p1,cp
26,c,17073,t,ct
27,c,14271,u,cu
27,c,17790,p4,cp
27,c,17073,t,ct
28,c,16920,u,cu
28,c,18041,p1,cp
28,c,17073,t,ct
29,c,16879,u,cu
29,c,18204,p3,cp
29,c,17073,t,ct
30,c,13190,u,cu
30,c,18166,p2,cp
30,c,17073,t,ct
31,c,13294,u,cu
31,c,17613,p4,cp
